Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Daily_Return,Volatility,Log_Return,Cumulative_Return
2011-09-15,MUNDRAPORT,EQ,149.05,150.0,151.7,148.25,149.9,149.35,149.58,535073,8003442375000.0,10737.0,228757,0.4275,0.002012747400201187,8.371519701163766,0.002010724538038266,0.9250541963456173
2011-09-16,MUNDRAPORT,EQ,149.35,150.0,153.5,148.0,148.3,150.8,150.95,1324489,19993454685000.0,10899.0,750600,0.5667,0.009708737864077888,8.097824594272375,0.009661910911737109,0.9340353050480021
2011-09-19,MUNDRAPORT,EQ,150.8,149.0,155.75,148.2,153.5,154.1,153.29,2809987,43075583805000.0,19412.0,2013055,0.7164,0.021883289124668304,7.6639016277350205,0.021647286752214237,0.9544750696810154
2011-09-20,MUNDRAPORT,EQ,154.1,155.1,155.65,152.5,154.0,154.35,154.36,1631967,25191437770000.0,8959.0,1265971,0.7757,0.0016223231667749083,7.080978969012435,0.0016210086220983248,0.956023536698668
2011-09-21,MUNDRAPORT,EQ,154.35,154.05,158.2,154.05,157.1,157.1,156.67,1204766,18875517920000.0,13789.0,760715,0.6314000000000001,0.017816650469711703,6.381252867548253,0.017659794313407175,0.9730566738928458
2011-09-22,MUNDRAPORT,EQ,157.1,156.1,156.1,142.2,147.15,146.45,148.95,2453772,36548320370000.0,20525.0,1331746,0.5427000000000001,-0.06779121578612357,5.749358660033019,-0.07019847198783308,0.9070919789408481
2011-09-23,MUNDRAPORT,EQ,146.45,144.6,151.25,143.75,149.5,149.65,148.6,1400138,20805486130000.0,16353.0,813899,0.5813,0.021850460908160008,5.654688320473215,0.021615161024965673,0.9269123567668006
2011-09-26,MUNDRAPORT,EQ,149.65,150.3,152.95,147.4,152.6,152.3,150.1,959586,14403310840000.0,13640.0,454189,0.4733,0.01770798529903117,4.965581537110647,0.01755302560240828,0.9433261071539174
2011-09-27,MUNDRAPORT,EQ,152.3,154.85,158.9,152.75,156.55,157.45,155.59,1229409,19128545565000.0,9233.0,831260,0.6761,0.03381483913328931,4.2067646027254515,0.033255687645917284,0.9752245277175592
2011-09-28,MUNDRAPORT,EQ,157.45,159.0,161.2,156.0,159.7,160.3,160.11,2377196,38061723230000.0,20060.0,1812601,0.7625000000000001,0.018100984439504808,4.038084323251384,0.017939112068473814,0.9928770517187981
